Student_ID,Age,Gender,Study_Hours,Attendance,Math_Score,Science_Score,English_Score,Family_Income,Internet_Access
1.0,18.0,Male,5.0,92.0,88.0,91.0,85.0,45000.0,Yes
2.0,19.0,Female,6.0,95.0,90.0,91.90687990097511,89.0,52000.0,Yes
3.0,18.0,Female,4.113483229331458,87.0,76.0,80.0,78.0,40000.0,No
4.0,20.0,Male,4.0,81.89880744673135,70.0,68.0,72.0,35000.0,Yes
5.0,19.0,Female,7.0,98.0,95.0,96.0,93.15944543343338,60000.0,Yes
6.0,18.0,Male,3.0,80.0,66.90676213495507,65.0,70.0,33145.598304514664,No
7.0,20.0,Female,8.0,99.0,98.0,97.0,96.0,70000.0,Yes
8.0,19.0,Male,4.224243422310204,85.0,75.0,74.0,73.0,42000.0,
9.0,18.0,Female,5.0,90.0,85.0,86.00622889808785,84.0,48000.0,Yes
10.0,20.0,Male,6.0,93.0,89.0,90.0,87.71627213661998,53000.0,Yes
11.0,19.0,Female,4.0,86.63762053459686,78.0,79.0,80.0,39000.0,No
12.0,18.0,Male,2.0,75.0,60.0,58.0,62.0,30000.0,No
13.0,20.0,Female,7.0,97.0,95.6870186775473,95.0,94.0,68000.0,Yes
14.0,19.0,Male,5.0,89.0,82.0,84.0,82.32722155508995,47000.0,Yes
15.0,18.0,Female,5.480386938860923,91.0,86.0,87.0,88.0,51000.0,Yes
16.0,20.0,Male,6.0,94.0,91.0,92.0,90.0,57168.519463360055,Yes
17.0,19.0,Female,3.0,82.0,68.0,68.91048062515496,71.0,34000.0,No
18.0,18.0,Male,4.0,88.0,80.0,81.0,79.0,43000.0,
19.0,20.0,Female,8.0,100.0,99.0,98.0,97.0,72000.0,Yes
20.0,19.0,Male,4.066248087656104,86.0,77.0,75.0,76.0,41000.0,No
21.0,18.0,Female,5.0,90.0,83.884096425265,86.0,84.0,49000.0,Yes
22.0,20.0,Male,6.0,93.0,88.0,89.0,87.0,55000.0,Yes
23.0,19.0,Female,7.0,95.39970210797304,92.0,94.0,91.0,61000.0,Yes
24.0,18.0,Male,3.0,78.0,65.0,67.0,68.2146669954104,32000.0,No
25.0,20.0,Female,8.0,99.0,97.0,98.0,96.0,69000.0,Yes
